"turnover_count","x","y","distance_ball_moved","ball_movement_speed","percent_distance","pass.angle","pressing_count_1","pressing_count_2","pressing_count_3","play_pattern.name","pass.type.name","right_option","front_option","left_option","back_option","player.name","match_id","position_group","team.name","x_end","y_end","xTurnover","predicted_turnover","cv_fold","risk_category","correct_prediction"
0,46.3,27.5,27.65014,23.75084,28.89667,1.192976,0,0,1,"Regular Play","",1,1,1,1,"Player_3583",3764295,"DM","Team_34",56.5,53.2,0.112076081750637,0,5,"Non-High Risk",TRUE
0,56.5,53.2,9.758074,7.171374,-17.33543,-2.356194,0,0,2,"Regular Play","",0,1,1,1,"Player_3720",3764295,"WG","Team_34",49.6,46.3,0.0574302905546763,0,3,"Non-High Risk",TRUE
0,49.6,46.3,21.41892,15.05544,5.374135,1.612828,0,0,2,"Regular Play","",0,1,1,1,"Player_3583",3764295,"DM","Team_34",48.7,67.7,0.0826715176509869,0,5,"Non-High Risk",TRUE
0,50.7,69.8,8.657944,8.943187,-2.552352,-1.686556,0,1,0,"Regular Play","",0,1,1,1,"Player_4620",3764295,"FB","Team_34",49.7,61.2,0.0819301368773474,0,5,"Non-High Risk",TRUE
1,51.8,60.8,40.78296,12.84949,75.18947,0.06379538,0,1,1,"Regular Play","",1,1,1,1,"Player_3583",3764295,"DM","Team_34",92.5,63.4,0.193358580543049,0,4,"Non-High Risk",FALSE
1,27.6,16.7,19.27823,8.862774,13.45491,-0.1984129,1,0,2,"Regular Play","Recovery",1,1,0,1,"Player_3336",3764295,"CB","Team_39",46.5,12.9,0.225813182661986,0,3,"Non-High Risk",FALSE
1,73.6,67.2,22.25242,10.80193,46.64224,-0.5118999,1,0,2,"Regular Play","Recovery",0,1,1,1,"Player_4620",3764295,"FB","Team_34",93,56.3,0.509125174535206,1,4,"High Risk",TRUE
0,27.1,23.8,8.746428,8.710141,9.762155,0.5404195,0,0,1,"Regular Play","Recovery",1,1,1,1,"Player_3336",3764295,"CB","Team_39",34.6,28.3,0.0744895115155284,0,1,"Non-High Risk",TRUE
0,33.1,29.6,18.96629,10.02589,-16.89244,-1.815775,1,0,3,"Regular Play","",1,1,1,1,"Player_20004",3764295,"DM","Team_39",28.5,11.2,0.0492999040052243,0,3,"Non-High Risk",TRUE
0,28.5,11.2,14.36698,14.01964,4.117086,-0.5822111,0,1,0,"Regular Play","",1,1,0,1,"Player_3382",3764295,"FB","Team_39",40.5,3.3,0.0864014119085269,0,3,"Non-High Risk",TRUE
0,37.2,4.6,13.51333,8.050212,-10.67154,3.097177,1,1,1,"Regular Play","",1,0,0,1,"Player_20039",3764295,"WG","Team_39",23.7,5.2,0.0960891475116304,0,3,"Non-High Risk",TRUE
0,23.7,5.2,13.93126,9.32435,-1.264003,2.254506,0,1,0,"Regular Play","",1,1,0,1,"Player_3382",3764295,"FB","Team_39",14.9,16,0.0428587522992776,0,3,"Non-High Risk",TRUE
0,14.9,23,10.64002,8.791755,10.36947,0.6453808,0,0,1,"Regular Play","",1,1,1,1,"Player_3336",3764295,"CB","Team_39",23.4,29.4,0.0267092453853473,0,4,"Non-High Risk",TRUE
0,22.3,30.6,29.9107,13.37394,13.19542,1.426535,0,0,2,"Regular Play","",1,1,1,1,"Player_20004",3764295,"DM","Team_39",26.6,60.2,0.0513882551661063,0,3,"Non-High Risk",TRUE
0,72.2,79,10.71168,12.17702,29.27514,-0.046695,0,0,1,"Regular Play","",0,1,1,0,"Player_3690",3764295,"FB","Team_39",82.9,78.5,0.0812862688697454,0,2,"Non-High Risk",TRUE
1,82.9,78.5,2.236068,23.13812,-7.552316,-2.961739,1,1,1,"Regular Play","",0,1,1,1,"Player_5204",3764295,"AM","Team_39",80.7,78.1,0.237978132842776,0,5,"Non-High Risk",FALSE
0,41.2,15,6.419502,6.795086,-5.687915,3.063626,1,0,3,"Regular Play","",1,1,1,1,"Player_10967",3764295,"WG","Team_34",34.8,15.5,0.0344466634118683,0,2,"Non-High Risk",TRUE
0,33.1,15.9,30.89336,12.89677,-8.927223,2.292062,0,0,3,"Regular Play","",1,1,0,1,"Player_3663",3764295,"CB","Team_34",12.7,39.1,0.117310523056686,0,4,"Non-High Risk",TRUE
0,48.8,31.3,10.11929,10.28254,14.49609,0.3217506,0,1,0,"Regular Play","Recovery",1,1,0,1,"Player_3382",3764295,"FB","Team_39",58.4,34.5,0.208328839913516,0,2,"Non-High Risk",TRUE
0,58.4,34.5,14.54132,11.6234,-6.269676,-1.076389,1,1,2,"Regular Play","",1,1,0,1,"Player_3381",3764295,"DM","Team_39",65.3,21.7,0.111131382442577,0,5,"Non-High Risk",TRUE
0,56.4,19.9,8.130191,9.447251,8.735148,1.484591,0,1,1,"Regular Play","",1,1,0,1,"Player_20039",3764295,"WG","Team_39",57.1,28,0.0688917144548761,0,5,"Non-High Risk",TRUE
0,57.1,25.5,7.333485,6.223647,-8.663956,-1.666395,0,1,3,"Regular Play","",1,1,1,1,"Player_20004",3764295,"DM","Team_39",56.4,18.2,0.0373166642896362,0,2,"Non-High Risk",TRUE
0,56.4,17.9,3.667424,6.563811,-2.96539,2.949545,0,0,3,"Regular Play","",1,1,1,1,"Player_20039",3764295,"WG","Team_39",52.8,18.6,0.0207500524928111,0,1,"Non-High Risk",TRUE
0,52.8,18.6,11.2272,9.356007,5.319913,1.90663,0,1,1,"Regular Play","",1,1,0,1,"Player_20004",3764295,"DM","Team_39",49.1,29.2,0.044823438485046,0,2,"Non-High Risk",TRUE
0,49.1,29.7,19.20443,9.471782,4.748611,1.861256,0,1,1,"Regular Play","",1,1,1,1,"Player_3381",3764295,"DM","Team_39",43.6,48.1,0.0381086950674549,0,4,"Non-High Risk",TRUE
0,49.5,57.4,18.43963,16.34302,-20.82838,-1.954324,0,1,0,"Regular Play","",1,1,1,0,"Player_3324",3764295,"CB","Team_39",42.6,40.3,0.0538771654773114,0,2,"Non-High Risk",TRUE
0,59.8,35.1,34.79224,20.45819,-23.71789,-1.056998,0,0,2,"Regular Play","",1,1,1,1,"Player_3336",3764295,"CB","Team_39",76.9,4.8,0.118360613103718,0,1,"Non-High Risk",TRUE
0,76.9,8.7,9.900505,9.196649,-0.5689673,-0.4048918,1,0,1,"Regular Play","",1,1,0,1,"Player_3382",3764295,"FB","Team_39",86,4.8,0.0648647996137837,0,3,"Non-High Risk",TRUE
0,79.3,11.2,6.462198,4.087306,-7.714322,-2.761086,1,0,1,"Regular Play","",1,1,0,1,"Player_20039",3764295,"WG","Team_39",73.3,8.8,0.0605838407446693,0,3,"Non-High Risk",TRUE
0,78.3,10.7,10.9078,12.34316,-3.390563,-0.5498532,0,1,1,"Regular Play","",1,1,0,1,"Player_3381",3764295,"DM","Team_39",87.6,5,0.0702396657150602,0,4,"Non-High Risk",TRUE
0,90.8,5,20.86552,27.21613,31.4321,1.156465,0,0,1,"Regular Play","",1,1,0,1,"Player_3382",3764295,"FB","Team_39",99.2,24.1,0.223000973361585,0,1,"Non-High Risk",TRUE
0,39.4,64.8,20.40833,9.022363,-28.23431,-2.601173,0,0,1,"From Free Kick","",0,1,1,0,"Player_4620",3764295,"FB","Team_34",21.9,54.3,0.100578938647242,0,5,"Non-High Risk",TRUE
1,82.6,35.7,21.93171,9.326143,29.99189,0.2206472,1,0,4,"From Free Kick","",0,0,0,1,"Player_3505",3764295,"ST","Team_34",104,40.5,0.568418899840992,1,3,"High Risk",TRUE
0,68.6,20.9,16.98529,7.112758,-26.05862,-1.754336,1,0,1,"From Free Kick","Recovery",0,1,1,1,"Player_9607",3764295,"DM","Team_34",65.5,4.2,0.252831215708623,0,3,"Non-High Risk",TRUE
0,55.2,4.4,8.668333,14.8258,7.878973,0.1973956,0,2,0,"From Free Kick","",1,1,0,1,"Player_3467",3764295,"FB","Team_34",63.7,6.1,0.193477020355328,0,2,"Non-High Risk",TRUE
0,63.7,6.1,20.728,12.93895,15.19451,1.854397,0,1,3,"From Free Kick","",1,1,0,1,"Player_9607",3764295,"DM","Team_34",57.9,26,0.182632568312834,0,1,"Non-High Risk",TRUE
0,57.5,32.9,33.97058,16.7328,30.01367,1.387257,1,0,1,"From Free Kick","",1,1,1,1,"Player_3583",3764295,"DM","Team_34",63.7,66.3,0.162018009419098,0,2,"Non-High Risk",TRUE
