"fold","n_train","n_test","accuracy","precision","recall","specificity","f1","auc","converged"
1,7999,2001,0.829085457271364,0.631578947368421,0.193548387096774,0.974217311233886,0.296296296296296,0.765612520379942,TRUE
2,7999,2001,0.822088955522239,0.566666666666667,0.182795698924731,0.968078575813382,0.276422764227642,0.763459012389685,TRUE
3,8000,2000,0.8305,0.633333333333333,0.204851752021563,0.972989564149785,0.309572301425662,0.778103742973962,TRUE
4,8001,1999,0.825912956478239,0.605504587155963,0.177897574123989,0.973587223587224,0.275,0.781543673053106,TRUE
5,8001,1999,0.823911955977989,0.579831932773109,0.185983827493261,0.969287469287469,0.281632653061224,0.767131135055661,TRUE
