"Metric","Mean","SD","Min","Max"
"Accuracy",0.826299865049966,0.00349943654936122,0.822088955522239,0.8305
"Precision",0.603383093459499,0.0299969871310736,0.566666666666667,0.633333333333333
"Recall",0.189015447932064,0.0105216346507745,0.177897574123989,0.204851752021563
"F1-Score",0.287784803002165,0.0148116226952321,0.275,0.309572301425662
"AUC",0.771170016770471,0.00809856814401014,0.763459012389685,0.781543673053106
