"","turnover_count","x","y","play_pattern.name","distance_ball_moved","ball_movement_speed","percent_distance","pass.type.name","pass.angle","pressing_count_1","pressing_count_2","pressing_count_3","right_option","front_option","left_option","back_option","player.name","match_id","position_group"
"26",1,75.9,78.8,"From Free Kick",35.25252,12.84059,72.58523,"",-0.5793482,1,1,2,0,0,1,1,"Player_5204",3764295,"AM"
"27",1,64.8,12.6,"From Free Kick",8.28734,6.499579,-8.800418,"",-2.996283,1,0,3,0,0,0,1,"Player_3505",3764295,"ST"
"28",0,46,17.4,"Regular Play",9.613012,10.53787,8.091418,"Recovery",1.51876,0,0,2,1,1,0,1,"Player_9607",3764295,"DM"
"29",0,46.3,27.5,"Regular Play",27.65014,23.75084,28.89667,"",1.192976,0,0,1,1,1,1,1,"Player_3583",3764295,"DM"
"30",0,56.5,53.2,"Regular Play",9.758074,7.171374,-17.33543,"",-2.356194,0,0,2,0,1,1,1,"Player_3720",3764295,"WG"
"31",0,49.6,46.3,"Regular Play",21.41892,15.05544,5.374135,"",1.612828,0,0,2,0,1,1,1,"Player_3583",3764295,"DM"
"32",0,50.7,69.8,"Regular Play",8.657944,8.943187,-2.552352,"",-1.686556,0,1,0,0,1,1,1,"Player_4620",3764295,"FB"
"33",1,51.8,60.8,"Regular Play",40.78296,12.84949,75.18947,"",0.06379538,0,1,1,1,1,1,1,"Player_3583",3764295,"DM"
"34",1,27.6,16.7,"Regular Play",19.27823,8.862774,13.45491,"Recovery",-0.1984129,1,0,2,1,1,0,1,"Player_3336",3764295,"CB"
"35",1,73.6,67.2,"Regular Play",22.25242,10.80193,46.64224,"Recovery",-0.5118999,1,0,2,0,1,1,1,"Player_4620",3764295,"FB"
"36",0,27.1,23.8,"Regular Play",8.746428,8.710141,9.762155,"Recovery",0.5404195,0,0,1,1,1,1,1,"Player_3336",3764295,"CB"
"37",0,33.1,29.6,"Regular Play",18.96629,10.02589,-16.89244,"",-1.815775,1,0,3,1,1,1,1,"Player_20004",3764295,"DM"
"38",0,28.5,11.2,"Regular Play",14.36698,14.01964,4.117086,"",-0.5822111,0,1,0,1,1,0,1,"Player_3382",3764295,"FB"
"39",0,37.2,4.6,"Regular Play",13.51333,8.050212,-10.67154,"",3.097177,1,1,1,1,0,0,1,"Player_20039",3764295,"WG"
"40",0,23.7,5.2,"Regular Play",13.93126,9.32435,-1.264003,"",2.254506,0,1,0,1,1,0,1,"Player_3382",3764295,"FB"
"41",0,14.9,23,"Regular Play",10.64002,8.791755,10.36947,"",0.6453808,0,0,1,1,1,1,1,"Player_3336",3764295,"CB"
"42",0,22.3,30.6,"Regular Play",29.9107,13.37394,13.19542,"",1.426535,0,0,2,1,1,1,1,"Player_20004",3764295,"DM"
"43",0,72.2,79,"Regular Play",10.71168,12.17702,29.27514,"",-0.046695,0,0,1,0,1,1,0,"Player_3690",3764295,"FB"
"44",1,82.9,78.5,"Regular Play",2.236068,23.13812,-7.552316,"",-2.961739,1,1,1,0,1,1,1,"Player_5204",3764295,"AM"
"45",0,41.2,15,"Regular Play",6.419502,6.795086,-5.687915,"",3.063626,1,0,3,1,1,1,1,"Player_10967",3764295,"WG"
